TOTAL SPARES,TO PLACE,BEING REPAIRED AT ATL,BEING REPAIRED AT MSP,ATL,CVG,DTW,LAX,MSP,SEA,SLC,COST
4,3,1,0,1,0,0,0,2,0,0,7245.239712810915
4,0,4,0,0,0,0,0,0,0,0,18023.662139365493
4,1,0,3,1,0,0,0,0,0,0,12535.083605494709
4,4,0,0,2,0,0,0,2,0,0,6612.218698870263
4,0,3,1,0,0,0,0,0,0,0,25722.50003910635
4,2,1,1,1,0,0,0,1,0,0,11947.411760828056
4,1,1,2,0,0,0,0,1,0,0,17306.451725462757
4,0,2,2,0,0,0,0,0,0,0,27585.58169292234
4,1,2,1,0,0,0,0,1,0,0,16947.948619305473
4,2,0,2,1,0,0,0,1,0,0,8654.927892349502
4,0,1,3,0,0,0,0,0,0,0,23882.474062438912
4,1,3,0,0,0,0,0,1,0,0,11130.98073953073
4,0,0,4,0,0,0,0,0,0,0,14346.888826385928
4,2,2,0,1,0,0,0,1,0,0,9821.738494533085
4,3,0,1,1,0,0,0,2,0,0,7325.263382403164
