STATE REGION,0,1,2,3,4,5,6,7,8,9,10
ATL,0.070651213,0.187225715,0.248074072,0.219132097,0.274916904,0,0,0,0,0,0
CVG,0.983471451,0.016391194,0.000136593,7.59E-07,3.17E-09,0,0,0,0,0,0
DTW,0.889881741,0.103819566,0.006056143,0.000235517,7.03E-06,0,0,0,0,0,0
LAX,0.935506982,0.062367135,2.08E-03,4.62E-05,7.80E-07,0,0,0,0,0,0
MSP,0.904837418,0.090483742,0.004524187,0.000150806,3.85E-06,0,0,0,0,0,0
SEA,0.983471451,0.016391194,1.37E-04,7.59E-07,3.17E-09,0,0,0,0,0,0
SLC,0.951229425,0.047561471,0.001189037,1.98E-05,2.50E-07,0,0,0,0,0,0
AL,0.991419248,0.008543831,3.69E-05,0,0,0,0,0,0,0,0
AR-LA,0.999390993,0.000608822,1.85E-07,0,0,0,0,0,0,0,0
AR-OK,0.994530791,0.005454225,1.50E-05,0,0,0,0,0,0,0,0
CT-RI-MA,0.978444194,0.021321792,2.34E-04,0,0,0,0,0,0,0,0
DE-NJ-PA,0.974273069,0.025393118,3.34E-04,0,0,0,0,0,0,0,0
GA,0.992042682,0.007925575,3.17E-05,0,0,0,0,0,0,0,0
IA-IL,0.997601618,0.002395504,2.88E-06,0,0,0,0,0,0,0,0
ID,0.999979211,2.08E-05,2.16E-10,0,0,0,0,0,0,0,0
ID-MT,0.999980453,1.95E-05,1.91E-10,0,0,0,0,0,0,0,0
IL,0.9997635,2.36E-04,2.80E-08,0,0,0,0,0,0,0,0
IL-IN-MI,0.977996852,0.021759284,2.44E-04,0,0,0,0,0,0,0,0
IN,0.993770274,0.006210281,1.94E-05,0,0,0,0,0,0,0,0
KS-MO,0.991028274,0.008931359,4.04E-05,0,0,0,0,0,0,0,0
KY-OH,0.995447547,0.004542075,1.04E-05,0,0,0,0,0,0,0,0
LA,0.991779367,0.008186751,3.39E-05,0,0,0,0,0,0,0,0
MD-VA-PA,0.991295672,0.008666335,3.80E-05,0,0,0,0,0,0,0,0
MI,0.997916489,0.002081339,2.17E-06,0,0,0,0,0,0,0,0
MN,0.999720108,0.000279853,3.92E-08,0,0,0,0,0,0,0,0
MO-AR,0.997549258,0.002447736,3.01E-06,0,0,0,0,0,0,0,0
MS,0.995179451,0.004808911,1.16E-05,0,0,0,0,0,0,0,0
MT,0.998071758,0.001926382,1.86E-06,0,0,0,0,0,0,0,0
NC,0.968697931,0.030806966,4.95E-04,0,0,0,0,0,0,0,0
NCA,0.98518417,0.01470553,1.10E-04,0,0,0,0,0,0,0,0
ND,0.996153657,0.003838936,7.41E-06,0,0,0,0,0,0,0,0
NFL,0.985695684,0.014201518,1.03E-04,0,0,0,0,0,0,0,0
NH-VT-ME,0.997193075,0.002802982,3.94E-06,0,0,0,0,0,0,0,0
NM-CO,0.993147531,0.006828937,2.35E-05,0,0,0,0,0,0,0,0
NNY,0.993619082,0.006360516,2.04E-05,0,0,0,0,0,0,0,0
NV-AZ-TX,0.989605475,0.010340314,5.42E-05,0,0,0,0,0,0,0,0
NV-UT,0.999863219,0.000136772,9.35E-09,0,0,0,0,0,0,0,0
OH,0.995435278,0.004554288,1.04E-05,0,0,0,0,0,0,0,0
OR,0.99509701,0.004890951,1.20E-05,0,0,0,0,0,0,0,0
PA,0.995027382,0.004960234,1.24E-05,0,0,0,0,0,0,0,0
SC,0.987393484,0.012526717,7.98E-05,0,0,0,0,0,0,0,0
SCA,0.992951596,0.007023505,2.49E-05,0,0,0,0,0,0,0,0
SD-NE,0.993592122,0.006387304,2.06E-05,0,0,0,0,0,0,0,0
SFL,0.983823543,0.016044907,1.32E-04,0,0,0,0,0,0,0,0
SNY,0.955631318,0.043369503,9.99E-04,0,0,0,0,0,0,0,0
TN,0.986077868,0.013824766,9.74E-05,0,0,0,0,0,0,0,0
TX,0.975095165,0.024592102,3.13E-04,0,0,0,0,0,0,0,0
VA,0.998256079,0.001742399,1.52E-06,0,0,0,0,0,0,0,0
WA,0.998859547,0.001139803,6.51E-07,0,0,0,0,0,0,0,0
WI,0.991031313,0.008928348,4.03E-05,0,0,0,0,0,0,0,0
WI-MI,0.996359152,0.003634212,6.64E-06,0,0,0,0,0,0,0,0
WV-VA,0.992715548,0.007257856,2.66E-05,0,0,0,0,0,0,0,0
WY,1,0,0.00E+00,0,0,0,0,0,0,0,0
