,ATL,CVG,DTW,LAX,MSP,SEA,SLC
ATL,0,13905.56,14436.77,17007.08,14891.66,17523.32,15987.72
CVG,14045.66,0,13602.29,16987.72,14276.06,16998.76,15613.8
DTW,14554.52,13569.56,0,17135.56,14225.84,17008.72,15632.04
LAX,17471.06,16810.28,17293.4,0,16257.32,14993.48,14198.68
MSP,15287.12,14310.44,14361.74,16531.88,0,15901.5,15011.88
SEA,18368,17040.44,17399.54,15104.52,15832.88,0,14394.76
SLC,16857.26,15872.84,16145.99,14370.6,15137.9,14530.34,0
AL,13549.81143,14009.96,14551.53714,16734.02857,14836.34857,17405.46,15862.42857
AR-LA,14245.244,14313.128,14836.808,16031.336,14553.404,16884.884,15325
AR-OK,14764.4,14486,14909.825,15610.52,14328.305,16447.225,14942.34
CT-RI-MA,15286.27143,14595.8,14514.41429,18412.06286,15400.80286,18212.69429,16733.17143
DE-NJ-PA,14746.184,14129,14159.708,17947.624,15019.64,17822.452,16375.624
GA,13510.224,14176.97333,14703.13667,17262.08444,15193.16,17831.52667,16271.28444
IA-IL,14827.76,13991.66,14056.5875,16294.28,13536.125,16152.575,14904.34
ID,17185.544,16151.72,16449.404,14622.632,15254.54,14222.244,13499.176
ID-MT,17628.14,16384.68,16663.88,15263.50667,15181.64,13854.72,14020.84
IL,14314.28,13690.52,13999.4,16451.50667,13938.02,16561.62667,15153.24
IL-IN-MI,14578.94,13617.16,13483.95,16848.68,13950.17,16726.24333,15383.52
IN,14158.124,13406.6,13735.514,16740.968,14124.104,16809.188,15416.808
KS-MO,14871.32,14255,14632.58,15852.168,13950.44,16159.796,14711.224
KY-OH,14071.4,13328.12,13658.23571,16956.04,14346.41429,17081.52286,15630.73714
LA,14158.916,14544.968,15134,16355.528,15007.004,17305.196,15662.744
MD-VA-PA,14482.844,14022.824,14088.338,17858.568,14956.784,17757.712,16316.344
MI,14828.2,13804.76,13422.56367,17218.28,14147.54,16861.16444,15702.46667
MN,15633.33714,14546.6,14618.98571,16584.42857,13454.46543,15813.52,15081.8
MO-AR,14312.96,13898.42,14305.01,16235.76,14061.815,16591.645,15135.76
MS,13814.84857,14166.92,14721.72714,16505.98286,14763.44857,17286.41429,15706.30286
MT,17073.08,15940.88,16178.93,15163.18667,14753.42,14253.12,13820.45333
NC,13879.934,14015.264,14389.556,17596.152,15123.158,17915.412,16376.688
NCA,17944.676,17065.976,17470.178,13728.2,16331.516,14476.556,14251.272
ND,16107.335,14931.62,15038.3825,16173.28,13743.485,15300.995,14722.7
NFL,13801.4,14443.77091,14997.74818,17268.04,15376.18727,17990.98727,16396.18545
NH-VT-ME,15500.96,14740.1,14563.04,18518.92,15499.16,18313.48,16825.62
NM-CO,16042.49,15325.58,15702.90125,14770.78,14864.7275,15310.125,13861.81
NNY,14988.14,14090.36,13931.42857,17838.55429,14872.91429,17672.00857,16238.30286
NV-AZ-TX,16622.8775,16165.79,16661.82125,13986.26,15713.2025,15461.3925,14122.68
NV-UT,17206.532,16244.456,16572.746,14052.392,15557.804,14642.224,13538.1792
OH,14555.51,13570.4,13448.1125,17313.76,14389.865,17176.795,15785.18
OR,18242.27,17049.26,17426.075,14610.4,16068.59,13608.21,14245.8
PA,14634.116,13822.904,13783.094,17606.184,14686.568,17480.824,16063.112
SC,13642.235,14049.62,14492.585,17439.6,15158.15,17899.725,16333.52
SCA,17403.344,16728.128,17251.676,139.656,16221.032,15086.44,14164.024
SD-NE,15447.17,14600.24,14706.39,15848.12,13732.01,15612.93667,14492.04
SFL,14281.676,14879.12,15490.301,17827.768,15830.126,18484.792,16869.016
SNY,14927.156,14275.496,14264.018,18097.928,15111.98,17916.74,16462.264
TN,13623.92,13668.96,14179.045,16803.21333,14597.09,17245.82333,15734.64
TX,14810.16,14892.46667,15494.10333,15717.97778,14958.08,16774.66,15181.78222
VA,14272.964,14103.128,14351.858,17873,15189.416,17996.088,16481.112
WA,18158.12,16871.88,17215.93,15156.14667,15670.88,13382.616,14313.18667
WI,14935.868,13939.832,13958.042,16696.616,13517.9,16271.348,15233.192
WI-MI,15146.144,14129.336,14005.256,16985.608,13623.524,16351.36,15479.128
WV-VA,14140.304,13671.704,13952.552,17453.768,14782.472,17579.428,16085.608
WY,16521.848,15575.144,15797.924,14977.448,14631.488,14756.1,13694.344
