STATE REGION,0,1,2,3,4,5,6,7,8,9,10
ATL,0.268027149,0.352902503,0.23232754,0.101966002,0.044776807,0,0,0,0,0,0
CVG,1,0,0,0,0,0,0,0,0,0,0
DTW,0.994436175,0.005548318,1.5478E-05,2.87858E-08,0,0,0,0,0,0,0
LAX,0.996415738,0.003577831,6.42E-06,7.69E-09,0,0,0,0,0,0,0
MSP,0.99666658,0.003327858,5.55584E-06,6.18363E-09,0,0,0,0,0,0,0
SEA,0.999539602,0.000460292,1.06E-07,0.00E+00,0,0,0,0,0,0,0
SLC,0.99988298,0.000117014,6.8469E-09,0,0,0,0,0,0,0,0
AL,1,0,0.00E+00,0,0,0,0,0,0,0,0
AR-LA,1,0,0.00E+00,0,0,0,0,0,0,0,0
AR-OK,1,0,0.00E+00,0,0,0,0,0,0,0,0
CT-RI-MA,0.998055465,0.001942643,1.89E-06,0,0,0,0,0,0,0,0
DE-NJ-PA,0.999941054,5.89445E-05,1.74E-09,0,0,0,0,0,0,0,0
GA,0.99999714,2.86E-06,0.00E+00,0,0,0,0,0,0,0,0
IA-IL,1,0,0.00E+00,0,0,0,0,0,0,0,0
ID,1,0,0.00E+00,0,0,0,0,0,0,0,0
ID-MT,1,0,0.00E+00,0,0,0,0,0,0,0,0
IL,1,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0
IL-IN-MI,0.999981993,1.80071E-05,1.62E-10,0,0,0,0,0,0,0,0
IN,0.999992373,7.62664E-06,0.00E+00,0,0,0,0,0,0,0,0
KS-MO,0.999981834,1.8166E-05,1.65E-10,0,0,0,0,0,0,0,0
KY-OH,0.999997458,2.54222E-06,0.00E+00,0,0,0,0,0,0,0,0
LA,0.999931733,6.82648E-05,2.33E-09,0,0,0,0,0,0,0,0
MD-VA-PA,0.999999047,9.53336E-07,0.00E+00,0,0,0,0,0,0,0,0
MI,1,0,0.00E+00,0,0,0,0,0,0,0,0
MN,0.999998146,1.85371E-06,0.00E+00,0,0,0,0,0,0,0,0
MO-AR,1,0,0.00E+00,0,0,0,0,0,0,0,0
MS,0.999999047,9.53336E-07,0.00E+00,0,0,0,0,0,0,0,0
MT,1,0,0.00E+00,0,0,0,0,0,0,0,0
NC,0.99996335,3.66492E-05,6.72E-10,0,0,0,0,0,0,0,0
NCA,0.998244712,0.001753746,1.54E-06,0,0,0,0,0,0,0,0
ND,1,0,0.00E+00,0,0,0,0,0,0,0,0
NFL,0.998435105,0.00156367,1.23E-06,0,0,0,0,0,0,0,0
NH-VT-ME,0.99999624,3.76037E-06,0.00E+00,0,0,0,0,0,0,0,0
NM-CO,0.999917805,8.21921E-05,3.38E-09,0,0,0,0,0,0,0,0
NNY,0.99998051,1.94901E-05,1.90E-10,0,0,0,0,0,0,0,0
NV-AZ-TX,0.999931055,6.89427E-05,2.38E-09,0,0,0,0,0,0,0,0
NV-UT,0.999998729,1.27111E-06,0.00E+00,0,0,0,0,0,0,0,0
OH,1,0,0.00E+00,0,0,0,0,0,0,0,0
OR,0.999971316,2.8684E-05,4.11E-10,0,0,0,0,0,0,0,0
PA,0.999957101,4.28983E-05,9.20E-10,0,0,0,0,0,0,0,0
SC,1,0,0.00E+00,0,0,0,0,0,0,0,0
SCA,0.999955247,4.47519E-05,1.00E-09,0,0,0,0,0,0,0,0
SD-NE,1,0,0.00E+00,0,0,0,0,0,0,0,0
SFL,0.999930949,6.90486E-05,2.38E-09,0,0,0,0,0,0,0,0
SNY,0.953447793,0.045451437,1.10E-03,0,0,0,0,0,0,0,0
TN,1,0,0.00E+00,0,0,0,0,0,0,0,0
TX,0.999944337,5.56612E-05,1.55E-09,0,0,0,0,0,0,0,0
VA,0.999998252,1.74778E-06,0.00E+00,0,0,0,0,0,0,0,0
WA,1,0,0.00E+00,0,0,0,0,0,0,0,0
WI,1,0,0.00E+00,0,0,0,0,0,0,0,0
WI-MI,0.999995202,4.79844E-06,0.00E+00,0,0,0,0,0,0,0,0
WV-VA,1,0,0.00E+00,0,0,0,0,0,0,0,0
WY,1,0,0.00E+00,0,0,0,0,0,0,0,0
,,,,,,,,,,,
