,ATL,CVG,DTW,LAX,MSP,SEA,SLC
ATL,0,23187.56,23718.77,26289.08,24173.66,26805.32,25269.72
CVG,23327.66,0,22884.29,26269.72,23558.06,26280.76,24895.8
DTW,23836.52,22851.56,0,26417.56,23507.84,26290.72,24914.04
LAX,26753.06,26092.28,26575.4,0,25539.32,24275.48,23480.68
MSP,24569.12,23592.44,23643.74,25813.88,0,25183.5,24293.88
SEA,27650,26322.44,26681.54,24386.52,25114.88,0,23676.76
SLC,26139.26,25154.84,25427.99,23652.6,24419.9,23812.34,0
AL,22831.81143,23291.96,23833.53714,26016.02857,24118.34857,26687.46,25144.42857
AR-LA,23527.244,23595.128,24118.808,25313.336,23835.404,26166.884,24607
AR-OK,24046.4,23768,24191.825,24892.52,23610.305,25729.225,24224.34
CT-RI-MA,24568.27143,23877.8,23796.41429,27694.06286,24682.80286,27494.69429,26015.17143
DE-NJ-PA,24028.184,23411,23441.708,27229.624,24301.64,27104.452,25657.624
GA,22792.224,23458.97333,23985.13667,26544.08444,24475.16,27113.52667,25553.28444
IA-IL,24109.76,23273.66,23338.5875,25576.28,22818.125,25434.575,24186.34
ID,26467.544,25433.72,25731.404,23904.632,24536.54,23504.244,22781.176
ID-MT,26910.14,25666.68,25945.88,24545.50667,24463.64,23136.72,23302.84
IL,23596.28,22972.52,23281.4,25733.50667,23220.02,25843.62667,24435.24
IL-IN-MI,23860.94,22899.16,22765.95,26130.68,23232.17,26008.24333,24665.52
IN,23440.124,22688.6,23017.514,26022.968,23406.104,26091.188,24698.808
KS-MO,24153.32,23537,23914.58,25134.168,23232.44,25441.796,23993.224
KY-OH,23353.4,22610.12,22940.23571,26238.04,23628.41429,26363.52286,24912.73714
LA,23440.916,23826.968,24416,25637.528,24289.004,26587.196,24944.744
MD-VA-PA,23764.844,23304.824,23370.338,27140.568,24238.784,27039.712,25598.344
MI,24110.2,23086.76,22704.56367,26500.28,23429.54,26143.16444,24984.46667
MN,24915.33714,23828.6,23900.98571,25866.42857,22736.46543,25095.52,24363.8
MO-AR,23594.96,23180.42,23587.01,25517.76,23343.815,25873.645,24417.76
MS,23096.84857,23448.92,24003.72714,25787.98286,24045.44857,26568.41429,24988.30286
MT,26355.08,25222.88,25460.93,24445.18667,24035.42,23535.12,23102.45333
NC,23161.934,23297.264,23671.556,26878.152,24405.158,27197.412,25658.688
NCA,27226.676,26347.976,26752.178,23010.2,25613.516,23758.556,23533.272
ND,25389.335,24213.62,24320.3825,25455.28,23025.485,24582.995,24004.7
NFL,23083.4,23725.77091,24279.74818,26550.04,24658.18727,27272.98727,25678.18545
NH-VT-ME,24782.96,24022.1,23845.04,27800.92,24781.16,27595.48,26107.62
NM-CO,25324.49,24607.58,24984.90125,24052.78,24146.7275,24592.125,23143.81
NNY,24270.14,23372.36,23213.42857,27120.55429,24154.91429,26954.00857,25520.30286
NV-AZ-TX,25904.8775,25447.79,25943.82125,23268.26,24995.2025,24743.3925,23404.68
NV-UT,26488.532,25526.456,25854.746,23334.392,24839.804,23924.224,22820.1792
OH,23837.51,22852.4,22730.1125,26595.76,23671.865,26458.795,25067.18
OR,27524.27,26331.26,26708.075,23892.4,25350.59,22890.21,23527.8
PA,23916.116,23104.904,23065.094,26888.184,23968.568,26762.824,25345.112
SC,22924.235,23331.62,23774.585,26721.6,24440.15,27181.725,25615.52
SCA,26685.344,26010.128,26533.676,139.656,25503.032,24368.44,23446.024
SD-NE,24729.17,23882.24,23988.39,25130.12,23014.01,24894.93667,23774.04
SFL,23563.676,24161.12,24772.301,27109.768,25112.126,27766.792,26151.016
SNY,24209.156,23557.496,23546.018,27379.928,24393.98,27198.74,25744.264
TN,22905.92,22950.96,23461.045,26085.21333,23879.09,26527.82333,25016.64
TX,24092.16,24174.46667,24776.10333,24999.97778,24240.08,26056.66,24463.78222
VA,23554.964,23385.128,23633.858,27155,24471.416,27278.088,25763.112
WA,27440.12,26153.88,26497.93,24438.14667,24952.88,22664.616,23595.18667
WI,24217.868,23221.832,23240.042,25978.616,22799.9,25553.348,24515.192
WI-MI,24428.144,23411.336,23287.256,26267.608,22905.524,25633.36,24761.128
WV-VA,23422.304,22953.704,23234.552,26735.768,24064.472,26861.428,25367.608
WY,25803.848,24857.144,25079.924,24259.448,23913.488,24038.1,22976.344
