STATE REGION,0,1,2,3,4,5,6,7,8,9,10
ATL,0.74081822,0.22224547,0.03333682,0.003333682,0.00026581,0,0,0,0,0,0
CVG,0.87517335,0.11668975,0.007779315,0.000345747,1.18E-05,0,0,0,0,0,0
DTW,0.65924061,0.27468361,0.057225756,0.007948022,0.000902,0,0,0,0,0,0
LAX,0.99655633,0.00343774,5.93E-06,6.82E-09,0,0,0,0,0,0,0
MSP,0.30625628,0.36240317,0.214421813,0.084577469,0.03234127,0,0,0,0,0,0
SEA,0.99704487,0.00295076,4.37E-06,4.31E-09,0,0,0,0,0,0,0
SLC,0.35581904,0.36767955,0.189967708,0.0654333,0.0211004,0,0,0,0,0,0
AL,0.999209,0.00079068,3.13E-07,0,0,0,0,0,0,0,0
AR-LA,0.99967235,0.0003276,5.36E-08,0,0,0,0,0,0,0,0
AR-OK,0.99959159,0.00040833,8.35E-08,0,0,0,0,0,0,0,0
CT-RI-MA,0.98585688,0.01404264,1.00E-04,0,0,0,0,0,0,0,0
DE-NJ-PA,0.99825426,0.00174421,1.52E-06,0,0,0,0,0,0,0,0
GA,0.99981673,0.00018326,1.68E-08,0,0,0,0,0,0,0,0
IA-IL,0.99984785,0.00015214,1.16E-08,0,0,0,0,0,0,0,0
ID,0.99953066,0.00046923,1.10E-07,0,0,0,0,0,0,0,0
ID-MT,0.99758925,0.00240785,2.91E-06,0,0,0,0,0,0,0,0
IL,0.99997749,2.25E-05,2.40E-10,0,0,0,0,0,0,0,0
IL-IN-MI,0.99390278,0.0060786,1.86E-05,0,0,0,0,0,0,0,0
IN,0.99835697,0.00164168,1.35E-06,0,0,0,0,0,0,0,0
KS-MO,0.99743147,0.00256523,3.30E-06,0,0,0,0,0,0,0,0
KY-OH,0.99848738,0.00151148,1.14E-06,0,0,0,0,0,0,0,0
LA,0.99504287,0.00494482,1.23E-05,0,0,0,0,0,0,0,0
MD-VA-PA,0.98623967,0.01366522,9.51E-05,0,0,0,0,0,0,0,0
MI,0.99953463,0.00046526,1.08E-07,0,0,0,0,0,0,0,0
MN,0.99976353,0.00023645,2.79E-08,0,0,0,0,0,0,0,0
MO-AR,0.99839453,0.00160418,1.29E-06,0,0,0,0,0,0,0,0
MS,0.99944758,0.00055226,1.53E-07,0,0,0,0,0,0,0,0
MT,0.99660249,0.00339173,5.78E-06,0,0,0,0,0,0,0,0
NC,0.99391906,0.00606241,1.85E-05,0,0,0,0,0,0,0,0
NCA,0.99492154,0.00506554,1.29E-05,0,0,0,0,0,0,0,0
ND,0.99804067,0.00195741,1.92E-06,0,0,0,0,0,0,0,0
NFL,0.99720914,0.00278696,3.90E-06,0,0,0,0,0,0,0,0
NH-VT-ME,0.99907545,0.00092412,4.27E-07,0,0,0,0,0,0,0,0
NM-CO,0.994294,0.00568969,1.63E-05,0,0,0,0,0,0,0,0
NNY,0.99631532,0.00367788,6.80E-06,0,0,0,0,0,0,0,0
NV-AZ-TX,0.99509252,0.00489542,1.21E-05,0,0,0,0,0,0,0,0
NV-UT,0.99913606,0.00086357,3.73E-07,0,0,0,0,0,0,0,0
OH,0.99871657,0.00128261,8.24E-07,0,0,0,0,0,0,0,0
OR,0.99849862,0.00150025,1.13E-06,0,0,0,0,0,0,0,0
PA,0.99767985,0.00231746,2.69E-06,0,0,0,0,0,0,0,0
SC,0.99906944,0.00093013,4.33E-07,0,0,0,0,0,0,0,0
SCA,0.99351856,0.00646039,2.11E-05,0,0,0,0,0,0,0,0
SD-NE,0.99711776,0.00287808,4.16E-06,0,0,0,0,0,0,0,0
SFL,0.9907462,0.00921085,4.29E-05,0,0,0,0,0,0,0,0
SNY,0.97810287,0.02165561,2.42E-04,0,0,0,0,0,0,0,0
TN,0.99587715,0.00411434,8.51E-06,0,0,0,0,0,0,0,0
TX,0.98367693,0.01618912,1.34E-04,0,0,0,0,0,0,0,0
VA,0.99884431,0.00115502,6.68E-07,0,0,0,0,0,0,0,0
WA,0.99694116,0.00305416,4.68E-06,0,0,0,0,0,0,0,0
WI,0.99793777,0.0020601,2.13E-06,0,0,0,0,0,0,0,0
WI-MI,0.9994374,0.00056244,1.58E-07,0,0,0,0,0,0,0,0
WV-VA,0.99747647,0.00252035,3.19E-06,0,0,0,0,0,0,0,0
WY,0.99807373,0.00192442,1.86E-06,0,0,0,0,0,0,0,0
