STATE REGION,0,1,2,3,4,5,6,7,8,9,10
ATL,0.967216104,0.032240534,0.000537342,5.97047E-06,5.00874E-08,0,0,0,0,0,0
CVG,0.999970626,2.93735E-05,4.31415E-10,0,0,0,0,0,0,0,0
DTW,0.983471451,0.016391194,0.000136593,7.58852E-07,3.17245E-09,0,0,0,0,0,0
LAX,0.999517163,0.00048272,1.17E-07,0.00E+00,0,0,0,0,0,0,0
MSP,0.998713142,0.00128603,8.28002E-07,3.55402E-10,0,0,0,0,0,0,0
SEA,0.999984246,1.57543E-05,1.24E-10,0.00E+00,0,0,0,0,0,0,0
SLC,0.999122804,0.000876812,3.84737E-07,1.12546E-10,0,0,0,0,0,0,0
AL,0.999999831,1.69195E-07,0,0,0,0,0,0,0,0,0
AR-LA,1,0,0,0,0,0,0,0,0,0,0
AR-OK,0.999999978,2.21895E-08,0,0,0,0,0,0,0,0,0
CT-RI-MA,0.998278672,0.001719846,1.48234E-06,0,0,0,0,0,0,0,0
DE-NJ-PA,0.999999821,1.7918E-07,0,0,0,0,0,0,0,0,0
GA,1,0,0,0,0,0,0,0,0,0,0
IA-IL,1,0,0,0,0,0,0,0,0,0,0
ID,0.999948947,5.10515E-05,1.30321E-09,0,0,0,0,0,0,0,0
ID-MT,0.999973219,2.67803E-05,3.58605E-10,0,0,0,0,0,0,0,0
IL,1,0.00E+00,0,0,0,0,0,0,0,0,0
IL-IN-MI,0.999941823,5.81757E-05,1.69234E-09,0,0,0,0,0,0,0,0
IN,0.999982103,1.78966E-05,1.60148E-10,0,0,0,0,0,0,0,0
KS-MO,0.999989816,1.01837E-05,0,0,0,0,0,0,0,0,0
KY-OH,0.99999582,4.18048E-06,0,0,0,0,0,0,0,0,0
LA,0.999907844,9.21515E-05,4.24648E-09,0,0,0,0,0,0,0,0
MD-VA-PA,0.999228122,0.00077158,2.97975E-07,0,0,0,0,0,0,0,0
MI,0.999999968,3.21747E-08,0,0,0,0,0,0,0,0,0
MN,1,0,0,0,0,0,0,0,0,0,0
MO-AR,0.999881017,0.000118976,7.07873E-09,0,0,0,0,0,0,0,0
MS,0.999999933,6.65684E-08,0,0,0,0,0,0,0,0,0
MT,0.999872657,0.000127335,8.10843E-09,0,0,0,0,0,0,0,0
NC,0.999746949,0.000253019,3.20202E-08,0,0,0,0,0,0,0,0
NCA,0.999945799,5.41993E-05,1.46889E-09,0,0,0,0,0,0,0,0
ND,0.999968408,3.15912E-05,4.99024E-10,0,0,0,0,0,0,0,0
NFL,0.998573178,0.001425803,1.01839E-06,0,0,0,0,0,0,0,0
NH-VT-ME,1,0,0,0,0,0,0,0,0,0,0
NM-CO,0.999977075,2.29245E-05,2.62775E-10,0,0,0,0,0,0,0,0
NNY,0.999999446,5.54181E-07,0,0,0,0,0,0,0,0,0
NV-AZ-TX,0.998028799,0.001969257,1.94409E-06,0,0,0,0,0,0,0,0
NV-UT,1,0,0,0,0,0,0,0,0,0,0
OH,0.999998985,1.01461E-06,0,0,0,0,0,0,0,0,0
OR,0.999904734,9.52614E-05,4.53794E-09,0,0,0,0,0,0,0,0
PA,0.999983143,1.68565E-05,1.42074E-10,0,0,0,0,0,0,0,0
SC,0.999999956,4.43789E-08,0,0,0,0,0,0,0,0,0
SCA,0.998881881,0.001117493,6.25328E-07,0,0,0,0,0,0,0,0
SD-NE,1,0,0,0,0,0,0,0,0,0,0
SFL,0.997694608,0.002302733,2.65946E-06,0,0,0,0,0,0,0,0
SNY,0.997823311,0.002174318,2.37071E-06,0,0,0,0,0,0,0,0
TN,0.999965878,3.41218E-05,5.82175E-10,0,0,0,0,0,0,0,0
TX,0.99885763,0.001141718,6.52754E-07,0,0,0,0,0,0,0,0
VA,0.999965165,3.4834E-05,6.06733E-10,0,0,0,0,0,0,0,0
WA,0.99996785,3.21493E-05,5.1681E-10,0,0,0,0,0,0,0,0
WI,0.999755818,0.000244153,2.98149E-08,0,0,0,0,0,0,0,0
WI-MI,0.999999648,3.52258E-07,0,0,0,0,0,0,0,0,0
WV-VA,1,0,0,0,0,0,0,0,0,0,0
WY,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
