STATE REGION,0,1,2,3,4,5,6,7,8,9,10
ATL,0.586646239,0.312877975,0.083434121,0.014832732,0.002208933,0,0,0,0,0,0
CVG,0.904837418,0.090483742,0.004524187,0.000150806,3.84683E-06,0,0,0,0,0,0
DTW,0.983471451,0.016391194,0.000136593,7.58852E-07,3.17245E-09,0,0,0,0,0,0
LAX,0.920044418,0.076670365,3.19E-03,8.87E-05,1.87997E-06,0,0,0,0,0,0
MSP,0.983471451,0.016391194,0.000136593,7.58852E-07,3.17245E-09,0,0,0,0,0,0
SEA,0.967216104,0.032240534,5.37E-04,5.97E-06,5.00874E-08,0,0,0,0,0,0
SLC,0.951229425,0.047561471,0.001189037,1.98173E-05,2.50214E-07,0,0,0,0,0,0
AL,0.999072987,0.000926584,4.30E-07,0,0,0,0,0,0,0,0
AR-LA,0.999980896,1.91036E-05,1.82E-10,0,0,0,0,0,0,0,0
AR-OK,0.999394895,0.000604922,1.83E-07,0,0,0,0,0,0,0,0
CT-RI-MA,0.996276315,0.003716744,6.94E-06,0,0,0,0,0,0,0,0
DE-NJ-PA,0.999636616,0.000363318,6.60E-08,0,0,0,0,0,0,0,0
GA,0.999005226,0.000994279,4.95E-07,0,0,0,0,0,0,0,0
IA-IL,1,0,0.00E+00,0,0,0,0,0,0,0,0
ID,0.999627764,0.000372167,6.93E-08,0,0,0,0,0,0,0,0
ID-MT,0.99956854,0.000431367,9.31E-08,0,0,0,0,0,0,0,0
IL,0.999995434,4.57E-06,0.00E+00,0,0,0,0,0,0,0,0
IL-IN-MI,0.998576522,0.001422464,1.01E-06,0,0,0,0,0,0,0,0
IN,0.999407499,0.000592326,1.76E-07,0,0,0,0,0,0,0,0
KS-MO,0.999513274,0.000486608,1.18E-07,0,0,0,0,0,0,0,0
KY-OH,0.998183653,0.001814696,1.65E-06,0,0,0,0,0,0,0,0
LA,0.998847019,0.001152316,6.65E-07,0,0,0,0,0,0,0,0
MD-VA-PA,0.997522561,0.002474368,3.07E-06,0,0,0,0,0,0,0,0
MI,0.99982443,0.000175555,1.54E-08,0,0,0,0,0,0,0,0
MN,0.999958865,4.11346E-05,8.46E-10,0,0,0,0,0,0,0,0
MO-AR,0.999827671,0.000172314,1.48E-08,0,0,0,0,0,0,0,0
MS,0.999771258,0.000228715,2.62E-08,0,0,0,0,0,0,0,0
MT,0.999118734,0.000880878,3.88E-07,0,0,0,0,0,0,0,0
NC,0.995916098,0.004075552,8.35E-06,0,0,0,0,0,0,0,0
NCA,0.99616887,0.003823782,7.35E-06,0,0,0,0,0,0,0,0
ND,0.999835612,0.000164374,1.35E-08,0,0,0,0,0,0,0,0
NFL,0.997755367,0.002242112,2.52E-06,0,0,0,0,0,0,0,0
NH-VT-ME,0.999859496,0.000140494,9.87E-09,0,0,0,0,0,0,0,0
NM-CO,0.997611063,0.002386082,2.86E-06,0,0,0,0,0,0,0,0
NNY,0.999872495,0.000127497,8.13E-09,0,0,0,0,0,0,0,0
NV-AZ-TX,0.995102074,0.004885912,1.20E-05,0,0,0,0,0,0,0,0
NV-UT,0.999408742,0.000591083,1.75E-07,0,0,0,0,0,0,0,0
OH,0.999882925,0.000117068,6.85E-09,0,0,0,0,0,0,0,0
OR,0.997896294,0.002101492,2.21E-06,0,0,0,0,0,0,0,0
PA,0.99960717,0.000392752,7.72E-08,0,0,0,0,0,0,0,0
SC,0.998754697,0.001244527,7.76E-07,0,0,0,0,0,0,0,0
SCA,0.997340128,0.002656331,3.54E-06,0,0,0,0,0,0,0,0
SD-NE,0.999610672,0.000389253,7.58E-08,0,0,0,0,0,0,0,0
SFL,0.995363661,0.004625575,1.08E-05,0,0,0,0,0,0,0,0
SNY,0.986232957,0.013671839,9.52E-05,0,0,0,0,0,0,0,0
TN,0.99759374,0.002403362,2.90E-06,0,0,0,0,0,0,0,0
TX,0.998305859,0.001692705,1.44E-06,0,0,0,0,0,0,0,0
VA,0.99936811,0.00063169,2.00E-07,0,0,0,0,0,0,0,0
WA,0.999449799,0.00055005,1.51E-07,0,0,0,0,0,0,0,0
WI,0.999762538,0.000237434,2.82E-08,0,0,0,0,0,0,0,0
WI-MI,0.999996144,3.85596E-06,0.00E+00,0,0,0,0,0,0,0,0
WV-VA,0.999703753,0.000296204,4.39E-08,0,0,0,0,0,0,0,0
WY,0.999991564,8.43638E-06,0.00E+00,0,0,0,0,0,0,0,0
,,,,,,,,,,,
