STATE REGION,0,1,2,3,4,5,6,7,8,9,10
ATL,0.002739445,0.016162724,0.047680037,0.09377074,0.138311841,0.163207972,0.160487839,0.135268322,0.099760387,0.065398476,0.07407415
CVG,0.246596964,0.34523575,0.241665025,0.112777012,0.039471954,0.014253296,0,0,0,0,0
DTW,0.728573548,0.230714981,0.036529876,0.003855932,0.000305261,2.04E-05,0,0,0,0,0
LAX,1,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0
MSP,0.548811636,0.329286982,0.098786095,0.019757219,0.002963583,0.000394486,0,0,0,0,0
SEA,1,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0
SLC,1,0,0,0,0,0,0,0,0,0,0
AL,0.927659855,0.069658117,2.68E-03,0,0,0,0,0,0,0,0
AR-LA,0.963187095,0.036126839,6.86E-04,0,0,0,0,0,0,0,0
AR-OK,0.959061456,0.040088887,8.50E-04,0,0,0,0,0,0,0,0
CT-RI-MA,0.943588026,0.054790025,1.62E-03,0,0,0,0,0,0,0,0
DE-NJ-PA,0.967122391,0.032331118,5.46E-04,0,0,0,0,0,0,0,0
GA,0.93683625,0.061125541,2.04E-03,0,0,0,0,0,0,0,0
IA-IL,0.986626483,0.01328369,8.98E-05,0,0,0,0,0,0,0,0
ID,1,0,0.00E+00,0,0,0,0,0,0,0,0
ID-MT,1,0,0.00E+00,0,0,0,0,0,0,0,0
IL,0.999945878,5.41E-05,1.48E-09,0,0,0,0,0,0,0,0
IL-IN-MI,0.954475026,0.044472619,1.05E-03,0,0,0,0,0,0,0,0
IN,0.968580772,0.030920392,4.99E-04,0,0,0,0,0,0,0,0
KS-MO,0.967580786,0.031887938,5.31E-04,0,0,0,0,0,0,0,0
KY-OH,0.926736893,0.070511314,2.75E-03,0,0,0,0,0,0,0,0
LA,0.986071801,0.013830748,9.75E-05,0,0,0,0,0,0,0,0
MD-VA-PA,0.88055244,0.112011374,7.44E-03,0,0,0,0,0,0,0,0
MI,0.988432903,0.011499939,6.72E-05,0,0,0,0,0,0,0,0
MN,0.999826124,0.000173861,1.51E-08,0,0,0,0,0,0,0,0
MO-AR,0.99117258,0.008788344,3.91E-05,0,0,0,0,0,0,0,0
MS,0.964666015,0.034702255,6.32E-04,0,0,0,0,0,0,0,0
MT,1,0,0.00E+00,0,0,0,0,0,0,0,0
NC,0.896932867,0.09756321,5.50E-03,0,0,0,0,0,0,0,0
NCA,0.999733123,0.000266842,3.56E-08,0,0,0,0,0,0,0,0
ND,0.999301652,0.000698104,2.44E-07,0,0,0,0,0,0,0,0
NFL,0.866842499,0.123870043,9.29E-03,0,0,0,0,0,0,0,0
NH-VT-ME,0.9831664,0.016691114,1.42E-04,0,0,0,0,0,0,0,0
NM-CO,0.997254342,0.002741885,3.77E-06,0,0,0,0,0,0,0,0
NNY,0.960295808,0.038905337,7.99E-04,0,0,0,0,0,0,0,0
NV-AZ-TX,0.999932354,6.76E-05,2.29E-09,0,0,0,0,0,0,0,0
NV-UT,1,0,0.00E+00,0,0,0,0,0,0,0,0
OH,0.961520963,0.037729036,7.50E-04,0,0,0,0,0,0,0,0
OR,0.999845832,0.000154156,1.19E-08,0,0,0,0,0,0,0,0
PA,0.979307414,0.020477002,2.16E-04,0,0,0,0,0,0,0,0
SC,0.89658765,0.09787081,5.54E-03,0,0,0,0,0,0,0,0
SCA,0.999981378,1.86E-05,1.99E-10,0,0,0,0,0,0,0,0
SD-NE,0.967188555,0.032267164,5.44E-04,0,0,0,0,0,0,0,0
SFL,0.898576162,0.096097159,5.33E-03,0,0,0,0,0,0,0,0
SNY,0.915294486,0.081012187,3.69E-03,0,0,0,0,0,0,0,0
TN,0.869991575,0.12116525,8.84E-03,0,0,0,0,0,0,0,0
TX,0.924748175,0.072346584,2.91E-03,0,0,0,0,0,0,0,0
VA,0.962010395,0.037258685,7.31E-04,0,0,0,0,0,0,0,0
WA,1,0,0.00E+00,0,0,0,0,0,0,0,0
WI,0.978398165,0.021366817,2.35E-04,0,0,0,0,0,0,0,0
WI-MI,0.999082462,0.000917117,4.21E-07,0,0,0,0,0,0,0,0
WV-VA,1,0,0.00E+00,0,0,0,0,0,0,0,0
WY,1,0,0.00E+00,0,0,0,0,0,0,0,0
