,ATL,CVG,DTW,LAX,MSP,SEA,SLC
ATL,0,9961.56,10492.77,13063.08,10947.66,13579.32,12043.72
CVG,10101.66,0,9658.29,13043.72,10332.06,13054.76,11669.8
DTW,10610.52,9625.56,0,13191.56,10281.84,13064.72,11688.04
LAX,13527.06,12866.28,13349.4,0,12313.32,11049.48,10254.68
MSP,11343.12,10366.44,10417.74,12587.88,0,11957.5,11067.88
SEA,14424,13096.44,13455.54,11160.52,11888.88,0,10450.76
SLC,12913.26,11928.84,12201.99,10426.6,11193.9,10586.34,0
AL,9605.811429,10065.96,10607.53714,12790.02857,10892.34857,13461.46,11918.42857
AR-LA,10301.244,10369.128,10892.808,12087.336,10609.404,12940.884,11381
AR-OK,10820.4,10542,10965.825,11666.52,10384.305,12503.225,10998.34
CT-RI-MA,11342.27143,10651.8,10570.41429,14468.06286,11456.80286,14268.69429,12789.17143
DE-NJ-PA,10802.184,10185,10215.708,14003.624,11075.64,13878.452,12431.624
GA,9566.224,10232.97333,10759.13667,13318.08444,11249.16,13887.52667,12327.28444
IA-IL,10883.76,10047.66,10112.5875,12350.28,9592.125,12208.575,10960.34
ID,13241.544,12207.72,12505.404,10678.632,11310.54,10278.244,9555.176
ID-MT,13684.14,12440.68,12719.88,11319.50667,11237.64,9910.72,10076.84
IL,10370.28,9746.52,10055.4,12507.50667,9994.02,12617.62667,11209.24
IL-IN-MI,10634.94,9673.16,9539.95,12904.68,10006.17,12782.24333,11439.52
IN,10214.124,9462.6,9791.514,12796.968,10180.104,12865.188,11472.808
KS-MO,10927.32,10311,10688.58,11908.168,10006.44,12215.796,10767.224
KY-OH,10127.4,9384.12,9714.235714,13012.04,10402.41429,13137.52286,11686.73714
LA,10214.916,10600.968,11190,12411.528,11063.004,13361.196,11718.744
MD-VA-PA,10538.844,10078.824,10144.338,13914.568,11012.784,13813.712,12372.344
MI,10884.2,9860.76,9478.563667,13274.28,10203.54,12917.16444,11758.46667
MN,11689.33714,10602.6,10674.98571,12640.42857,9510.465429,11869.52,11137.8
MO-AR,10368.96,9954.42,10361.01,12291.76,10117.815,12647.645,11191.76
MS,9870.848571,10222.92,10777.72714,12561.98286,10819.44857,13342.41429,11762.30286
MT,13129.08,11996.88,12234.93,11219.18667,10809.42,10309.12,9876.453333
NC,9935.934,10071.264,10445.556,13652.152,11179.158,13971.412,12432.688
NCA,14000.676,13121.976,13526.178,9784.2,12387.516,10532.556,10307.272
ND,12163.335,10987.62,11094.3825,12229.28,9799.485,11356.995,10778.7
NFL,9857.4,10499.77091,11053.74818,13324.04,11432.18727,14046.98727,12452.18545
NH-VT-ME,11556.96,10796.1,10619.04,14574.92,11555.16,14369.48,12881.62
NM-CO,12098.49,11381.58,11758.90125,10826.78,10920.7275,11366.125,9917.81
NNY,11044.14,10146.36,9987.428571,13894.55429,10928.91429,13728.00857,12294.30286
NV-AZ-TX,12678.8775,12221.79,12717.82125,10042.26,11769.2025,11517.3925,10178.68
NV-UT,13262.532,12300.456,12628.746,10108.392,11613.804,10698.224,9594.1792
OH,10611.51,9626.4,9504.1125,13369.76,10445.865,13232.795,11841.18
OR,14298.27,13105.26,13482.075,10666.4,12124.59,9664.21,10301.8
PA,10690.116,9878.904,9839.094,13662.184,10742.568,13536.824,12119.112
SC,9698.235,10105.62,10548.585,13495.6,11214.15,13955.725,12389.52
SCA,13459.344,12784.128,13307.676,139.656,12277.032,11142.44,10220.024
SD-NE,11503.17,10656.24,10762.39,11904.12,9788.01,11668.93667,10548.04
SFL,10337.676,10935.12,11546.301,13883.768,11886.126,14540.792,12925.016
SNY,10983.156,10331.496,10320.018,14153.928,11167.98,13972.74,12518.264
TN,9679.92,9724.96,10235.045,12859.21333,10653.09,13301.82333,11790.64
TX,10866.16,10948.46667,11550.10333,11773.97778,11014.08,12830.66,11237.78222
VA,10328.964,10159.128,10407.858,13929,11245.416,14052.088,12537.112
WA,14214.12,12927.88,13271.93,11212.14667,11726.88,9438.616,10369.18667
WI,10991.868,9995.832,10014.042,12752.616,9573.9,12327.348,11289.192
WI-MI,11202.144,10185.336,10061.256,13041.608,9679.524,12407.36,11535.128
WV-VA,10196.304,9727.704,10008.552,13509.768,10838.472,13635.428,12141.608
WY,12577.848,11631.144,11853.924,11033.448,10687.488,10812.1,9750.344
