STATE REGION,0,1,2,3,4,5,6,7,8,9,10
ATL,0.074273578,0.193111303,0.251044694,0.217572068,0.141421845,0.073539359,0.031867056,0.017170096,0,0,0
CVG,0.983471451,0.016391194,0.000137355,0,0,0,0,0,0,0,0
DTW,0.889881741,0.103819566,0.006056143,0.000235517,7.03E-06,0,0,0,0,0,0
LAX,0.70468809,0.246640831,4.32E-02,5.04E-03,0.00047335,0,0,0,0,0,0
MSP,0.480305317,0.352223883,0.129148751,0.031569693,0.006752355,0,0,0,0,0,0
SEA,0.967216104,0.032240534,5.43E-04,0.00E+00,0,0,0,0,0,0,0
SLC,0.983471451,0.016391194,0.000137355,0,0,0,0,0,0,0,0
AL,0.999911792,8.82E-05,3.89E-09,0,0,0,0,0,0,0,0
AR-LA,0.999997249,2.75E-06,0.00E+00,0,0,0,0,0,0,0,0
AR-OK,0.996780238,0.003214573,5.19E-06,0,0,0,0,0,0,0,0
CT-RI-MA,0.967965164,0.031516152,5.19E-04,0,0,0,0,0,0,0,0
DE-NJ-PA,0.990682983,0.009273478,4.35E-05,0,0,0,0,0,0,0,0
GA,0.999869473,0.000130518,8.52E-09,0,0,0,0,0,0,0,0
IA-IL,0.999984561,1.54E-05,1.19E-10,0,0,0,0,0,0,0,0
ID,0.999468921,0.000530938,1.41E-07,0,0,0,0,0,0,0,0
ID-MT,0.999985023,1.50E-05,1.12E-10,0,0,0,0,0,0,0,0
IL,0.988553743,1.14E-02,6.58E-05,0,0,0,0,0,0,0,0
IL-IN-MI,0.990580706,0.009374793,4.45E-05,0,0,0,0,0,0,0,0
IN,0.991625208,0.008339625,3.52E-05,0,0,0,0,0,0,0,0
KS-MO,0.9881583,0.011771309,7.04E-05,0,0,0,0,0,0,0,0
KY-OH,0.998045873,0.001952217,1.91E-06,0,0,0,0,0,0,0,0
LA,0.980203272,0.019599467,1.97E-04,0,0,0,0,0,0,0,0
MD-VA-PA,0.962060643,0.037210381,7.29E-04,0,0,0,0,0,0,0,0
MI,0.997371514,0.002625028,3.46E-06,0,0,0,0,0,0,0,0
MN,1,0,0.00E+00,0,0,0,0,0,0,0,0
MO-AR,0.994683745,0.005302099,1.42E-05,0,0,0,0,0,0,0,0
MS,0.999990976,9.02E-06,0.00E+00,0,0,0,0,0,0,0,0
MT,0.999039736,0.000959803,4.61E-07,0,0,0,0,0,0,0,0
NC,0.988258587,0.011672211,6.92E-05,0,0,0,0,0,0,0,0
NCA,0.941205725,0.057030987,1.76E-03,0,0,0,0,0,0,0,0
ND,0.999690381,0.000309571,4.79E-08,0,0,0,0,0,0,0,0
NFL,0.906006136,0.089431141,4.56E-03,0,0,0,0,0,0,0,0
NH-VT-ME,0.999999175,8.25E-07,0.00E+00,0,0,0,0,0,0,0,0
NM-CO,0.984922438,0.01496332,1.14E-04,0,0,0,0,0,0,0,0
NNY,0.996946609,0.003048725,4.67E-06,0,0,0,0,0,0,0,0
NV-AZ-TX,0.962176334,0.037099158,7.25E-04,0,0,0,0,0,0,0,0
NV-UT,0.999639569,0.000360366,6.50E-08,0,0,0,0,0,0,0,0
OH,0.994920951,0.005066129,1.29E-05,0,0,0,0,0,0,0,0
OR,0.987693788,0.012230178,7.60E-05,0,0,0,0,0,0,0,0
PA,0.994711165,0.005274825,1.40E-05,0,0,0,0,0,0,0,0
SC,0.999127647,0.000871973,3.81E-07,0,0,0,0,0,0,0,0
SCA,0.959610761,0.039562386,8.27E-04,0,0,0,0,0,0,0,0
SD-NE,0.999830413,0.000169573,1.44E-08,0,0,0,0,0,0,0,0
SFL,0.893515087,0.100602704,5.88E-03,0,0,0,0,0,0,0,0
SNY,0.877638238,0.114550045,7.81E-03,0,0,0,0,0,0,0,0
TN,0.994762143,0.005224115,1.37E-05,0,0,0,0,0,0,0,0
TX,0.978544773,0.0212234,2.32E-04,0,0,0,0,0,0,0,0
VA,0.99138881,0.008574007,3.72E-05,0,0,0,0,0,0,0,0
WA,0.991135976,0.008824622,3.94E-05,0,0,0,0,0,0,0,0
WI,0.990675384,0.009281006,4.36E-05,0,0,0,0,0,0,0,0
WI-MI,0.999760967,0.000239005,2.86E-08,0,0,0,0,0,0,0,0
WV-VA,0.999935351,6.46E-05,2.09E-09,0,0,0,0,0,0,0,0
WY,0.99770772,0.002289651,2.63E-06,0,0,0,0,0,0,0,0
