,ATL,CVG,DTW,LAX,MSP,SEA,SLC
ATL,0,9865.56,10396.77,12967.08,10851.66,13483.32,11947.72
CVG,10005.66,0,9562.29,12947.72,10236.06,12958.76,11573.8
DTW,10514.52,9529.56,0,13095.56,10185.84,12968.72,11592.04
LAX,13431.06,12770.28,13253.4,0,12217.32,10953.48,10158.68
MSP,11247.12,10270.44,10321.74,12491.88,0,11861.5,10971.88
SEA,14328,13000.44,13359.54,11064.52,11792.88,0,10354.76
SLC,12817.26,11832.84,12105.99,10330.6,11097.9,10490.34,0
AL,9509.811429,9969.96,10511.53714,12694.02857,10796.34857,13365.46,11822.42857
AR-LA,10205.244,10273.128,10796.808,11991.336,10513.404,12844.884,11285
AR-OK,10724.4,10446,10869.825,11570.52,10288.305,12407.225,10902.34
CT-RI-MA,11246.27143,10555.8,10474.41429,14372.06286,11360.80286,14172.69429,12693.17143
DE-NJ-PA,10706.184,10089,10119.708,13907.624,10979.64,13782.452,12335.624
GA,9470.224,10136.97333,10663.13667,13222.08444,11153.16,13791.52667,12231.28444
IA-IL,10787.76,9951.66,10016.5875,12254.28,9496.125,12112.575,10864.34
ID,13145.544,12111.72,12409.404,10582.632,11214.54,10182.244,9459.176
ID-MT,13588.14,12344.68,12623.88,11223.50667,11141.64,9814.72,9980.84
IL,10274.28,9650.52,9959.4,12411.50667,9898.02,12521.62667,11113.24
IL-IN-MI,10538.94,9577.16,9443.95,12808.68,9910.17,12686.24333,11343.52
IN,10118.124,9366.6,9695.514,12700.968,10084.104,12769.188,11376.808
KS-MO,10831.32,10215,10592.58,11812.168,9910.44,12119.796,10671.224
KY-OH,10031.4,9288.12,9618.235714,12916.04,10306.41429,13041.52286,11590.73714
LA,10118.916,10504.968,11094,12315.528,10967.004,13265.196,11622.744
MD-VA-PA,10442.844,9982.824,10048.338,13818.568,10916.784,13717.712,12276.344
MI,10788.2,9764.76,9382.563667,13178.28,10107.54,12821.16444,11662.46667
MN,11593.33714,10506.6,10578.98571,12544.42857,9414.465429,11773.52,11041.8
MO-AR,10272.96,9858.42,10265.01,12195.76,10021.815,12551.645,11095.76
MS,9774.848571,10126.92,10681.72714,12465.98286,10723.44857,13246.41429,11666.30286
MT,13033.08,11900.88,12138.93,11123.18667,10713.42,10213.12,9780.453333
NC,9839.934,9975.264,10349.556,13556.152,11083.158,13875.412,12336.688
NCA,13904.676,13025.976,13430.178,9688.2,12291.516,10436.556,10211.272
ND,12067.335,10891.62,10998.3825,12133.28,9703.485,11260.995,10682.7
NFL,9761.4,10403.77091,10957.74818,13228.04,11336.18727,13950.98727,12356.18545
NH-VT-ME,11460.96,10700.1,10523.04,14478.92,11459.16,14273.48,12785.62
NM-CO,12002.49,11285.58,11662.90125,10730.78,10824.7275,11270.125,9821.81
NNY,10948.14,10050.36,9891.428571,13798.55429,10832.91429,13632.00857,12198.30286
NV-AZ-TX,12582.8775,12125.79,12621.82125,9946.26,11673.2025,11421.3925,10082.68
NV-UT,13166.532,12204.456,12532.746,10012.392,11517.804,10602.224,9498.1792
OH,10515.51,9530.4,9408.1125,13273.76,10349.865,13136.795,11745.18
OR,14202.27,13009.26,13386.075,10570.4,12028.59,9568.21,10205.8
PA,10594.116,9782.904,9743.094,13566.184,10646.568,13440.824,12023.112
SC,9602.235,10009.62,10452.585,13399.6,11118.15,13859.725,12293.52
SCA,13363.344,12688.128,13211.676,139.656,12181.032,11046.44,10124.024
SD-NE,11407.17,10560.24,10666.39,11808.12,9692.01,11572.93667,10452.04
SFL,10241.676,10839.12,11450.301,13787.768,11790.126,14444.792,12829.016
SNY,10887.156,10235.496,10224.018,14057.928,11071.98,13876.74,12422.264
TN,9583.92,9628.96,10139.045,12763.21333,10557.09,13205.82333,11694.64
TX,10770.16,10852.46667,11454.10333,11677.97778,10918.08,12734.66,11141.78222
VA,10232.964,10063.128,10311.858,13833,11149.416,13956.088,12441.112
WA,14118.12,12831.88,13175.93,11116.14667,11630.88,9342.616,10273.18667
WI,10895.868,9899.832,9918.042,12656.616,9477.9,12231.348,11193.192
WI-MI,11106.144,10089.336,9965.256,12945.608,9583.524,12311.36,11439.128
WV-VA,10100.304,9631.704,9912.552,13413.768,10742.472,13539.428,12045.608
WY,12481.848,11535.144,11757.924,10937.448,10591.488,10716.1,9654.344
