STATE REGION,0,1,2,3,4,5,6,7,8,9,10
ATL,0.548811636,0.329286982,0.098786095,0.019757219,0.003358069,0,0,0,0,0,0
CVG,0.992614151,0.007358506,2.73E-05,6.74E-08,1.25E-10,0,0,0,0,0,0
DTW,0.967216104,0.032240534,0.000537342,5.97E-06,5.01E-08,0,0,0,0,0,0
LAX,0.999999512,4.88E-07,0.00E+00,0.00E+00,0,0,0,0,0,0,0
MSP,0.332871084,0.366158192,0.201387006,0.073841902,0.025741817,0,0,0,0,0,0
SEA,1,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0
SLC,0.967216104,0.032240534,0.000537342,5.97E-06,5.01E-08,0,0,0,0,0,0
AL,0.999408243,0.000591582,1.75E-07,0,0,0,0,0,0,0,0
AR-LA,0.999945011,5.50E-05,1.51E-09,0,0,0,0,0,0,0,0
AR-OK,0.999969219,3.08E-05,4.74E-10,0,0,0,0,0,0,0,0
CT-RI-MA,0.972068506,0.027537727,3.94E-04,0,0,0,0,0,0,0,0
DE-NJ-PA,0.997531189,0.002465761,3.05E-06,0,0,0,0,0,0,0,0
GA,0.999986744,1.33E-05,0.00E+00,0,0,0,0,0,0,0,0
IA-IL,0.999993233,6.77E-06,0.00E+00,0,0,0,0,0,0,0,0
ID,0.995509561,0.004480342,1.01E-05,0,0,0,0,0,0,0,0
ID-MT,1,0,0.00E+00,0,0,0,0,0,0,0,0
IL,1,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0
IL-IN-MI,0.982189604,0.017650841,1.60E-04,0,0,0,0,0,0,0,0
IN,0.99148127,0.008482342,3.64E-05,0,0,0,0,0,0,0,0
KS-MO,0.99112638,0.008834132,3.95E-05,0,0,0,0,0,0,0,0
KY-OH,0.979086162,0.020693603,2.20E-04,0,0,0,0,0,0,0,0
LA,0.996784368,0.003210456,5.18E-06,0,0,0,0,0,0,0,0
MD-VA-PA,0.935779338,0.062112896,2.11E-03,0,0,0,0,0,0,0,0
MI,0.999626383,0.000373547,6.98E-08,0,0,0,0,0,0,0,0
MN,1,0,0.00E+00,0,0,0,0,0,0,0,0
MO-AR,0.987896012,0.012030438,7.36E-05,0,0,0,0,0,0,0,0
MS,0.999694271,0.000305682,4.67E-08,0,0,0,0,0,0,0,0
MT,0.998226392,0.001772034,1.57E-06,0,0,0,0,0,0,0,0
NC,0.982539978,0.017306701,1.53E-04,0,0,0,0,0,0,0,0
NCA,0.988729017,0.011207225,6.38E-05,0,0,0,0,0,0,0,0
ND,0.996924562,0.003070704,4.73E-06,0,0,0,0,0,0,0,0
NFL,0.981162315,0.018659131,1.79E-04,0,0,0,0,0,0,0,0
NH-VT-ME,0.995790041,0.004201085,8.87E-06,0,0,0,0,0,0,0,0
NM-CO,0.963897177,0.035443129,6.60E-04,0,0,0,0,0,0,0,0
NNY,0.97642017,0.023299615,2.80E-04,0,0,0,0,0,0,0,0
NV-AZ-TX,0.974945816,0.024737674,3.17E-04,0,0,0,0,0,0,0,0
NV-UT,0.999999358,6.42E-07,0.00E+00,0,0,0,0,0,0,0,0
OH,0.983195141,0.01666286,1.42E-04,0,0,0,0,0,0,0,0
OR,0.99744644,0.002550297,3.26E-06,0,0,0,0,0,0,0,0
PA,0.991535973,0.008428105,3.59E-05,0,0,0,0,0,0,0,0
SC,0.994516991,0.00546795,1.51E-05,0,0,0,0,0,0,0,0
SCA,0.992640384,0.007332468,2.71E-05,0,0,0,0,0,0,0,0
SD-NE,0.989095635,0.010844695,5.97E-05,0,0,0,0,0,0,0,0
SFL,0.946727356,0.051827766,1.44E-03,0,0,0,0,0,0,0,0
SNY,0.986355607,0.013550882,9.35E-05,0,0,0,0,0,0,0,0
TN,0.993849166,0.006131878,1.90E-05,0,0,0,0,0,0,0,0
TX,0.977621873,0.022125848,2.52E-04,0,0,0,0,0,0,0,0
VA,0.988175105,0.011754704,7.02E-05,0,0,0,0,0,0,0,0
WA,0.992126184,0.007842736,3.11E-05,0,0,0,0,0,0,0,0
WI,0.97986897,0.019927027,2.04E-04,0,0,0,0,0,0,0,0
WI-MI,0.998099538,0.001898655,1.81E-06,0,0,0,0,0,0,0,0
WV-VA,1,0,0.00E+00,0,0,0,0,0,0,0,0
WY,1,0,0.00E+00,0,0,0,0,0,0,0,0
